vessel_flag,offset_list,count,observer_trips
PG,10,1384,2379
PG,"10,11",263,2379
PG,12,91,2379
PG,"10,11,12",86,2379
PG,11,79,2379
PG,9,78,2379
PG,"11,12",72,2379
PG,"10,12",67,2379
PG,"9,10",51,2379
PG,"-11,12",25,2379
PG,-11,19,2379
PG,"9,10,11",19,2379
PG,"8,10",14,2379
PG,"-11,11,12",12,2379
PG,"-10,10",9,2379
PG,"-11,-10",8,2379
PG,"-11,11",7,2379
PG,-10,7,2379
PG,"9,10,11,12",6,2379
PG,"-11,10,11",5,2379
PG,"-11,10,11,12",4,2379
PG,"-10,10,11,12",4,2379
PG,8,4,2379
PG,"8,9,10",4,2379
PG,"9,11",3,2379
PG,"8,10,11",3,2379
PG,"8,10,11,12",3,2379
PG,"7,10",3,2379
PG,"-10,10,11",3,2379
PG,-12,3,2379
PG,"-12,12",3,2379
PG,"-12,10",2,2379
PG,"2,10",2,2379
PG,"-11,10,12",2,2379
PG,"-10,12",2,2379
PG,"8,10,12",2,2379
PG,"8,9",2,2379
PG,"9,11,12",2,2379
PG,"-12,11,12",2,2379
PG,"9,12",1,2379
PG,"9,10,12",1,2379
PG,"7,10,11",1,2379
PG,"-10,8,10",1,2379
PG,"-12,-11",1,2379
PG,"-12,-11,11",1,2379
PG,"-12,-11,12",1,2379
PG,"-12,-6,11,12",1,2379
PG,"-12,-7",1,2379
PG,"-11,-10,-9",1,2379
PG,"-11,-10,-9,-8",1,2379
PG,"-11,-10,10,11,12",1,2379
PG,"-11,-10,11,12",1,2379
PG,"-11,-10,12",1,2379
PG,"-11,10",1,2379
PG,"2,10,11",1,2379
PG,"4,7,10,11",1,2379
PG,"-12,10,11",1,2379
PG,"-12,11",1,2379
PG,"-11,6,11",1,2379
PG,"-13,10,11,12",1,2379
PG,-7,1,2379
PG,"-9,1",1,2379
PG,"0,10",1,2379
KI,12,513,1280
KI,"11,12",152,1280
KI,"-11,12",141,1280
KI,"10,11",52,1280
KI,"-11,-10",48,1280
KI,-11,42,1280
KI,"10,11,12",34,1280
KI,11,34,1280
KI,"-11,11,12",31,1280
KI,10,29,1280
KI,"-12,12",26,1280
KI,-10,25,1280
KI,"-11,-10,12",24,1280
KI,"-10,12",15,1280
KI,"10,12",15,1280
KI,"-12,-11,12",7,1280
KI,"-11,11",6,1280
KI,"9,10",6,1280
KI,"9,10,11",5,1280
KI,"9,10,11,12",5,1280
KI,"-12,11,12",5,1280
KI,"-11,10,11,12",5,1280
KI,"9,12",4,1280
KI,-12,3,1280
KI,"-11,-10,11",3,1280
KI,"-11,-10,11,12",3,1280
KI,"-10,11,12",3,1280
KI,"-10,10,11",2,1280
KI,"-11,10,12",2,1280
KI,"-11,10",2,1280
KI,"-11,8,11,12",2,1280
KI,"-12,-11",2,1280
KI,"-11,-10,10,11,12",2,1280
KI,"-9,12",2,1280
KI,"6,12",2,1280
KI,"8,12",2,1280
KI,"8,9,10",1,1280
KI,"7,12",1,1280
KI,"7,8,12",1,1280
KI,8,1,1280
KI,"8,10",1,1280
KI,"8,10,11,12",1,1280
KI,"2,12",1,1280
KI,"9,10,12",1,1280
KI,"9,11,12",1,1280
KI,"-13,10,11",1,1280
KI,"-12,-11,-10,12",1,1280
KI,"-12,-8,12",1,1280
KI,"-12,10,11",1,1280
KI,"-12,10,11,12",1,1280
KI,"-11,8,12",1,1280
KI,"-11,9,12",1,1280
KI,"-11,10,11",1,1280
KI,"-11,-10,1,12",1,1280
KI,"-11,-10,7,10,11,12",1,1280
KI,"-11,1",1,1280
KI,"-11,1,12",1,1280
KI,"-10,10,11,12",1,1280
KI,"-10,11",1,1280
KI,"-10,10",1,1280
KI,"-10,9,12",1,1280
KI,"-1,12",1,1280
FM,11,193,1027
FM,12,146,1027
FM,"11,12",140,1027
FM,"10,11",107,1027
FM,9,92,1027
FM,"-11,12",63,1027
FM,"-11,11,12",48,1027
