type,vessel_flag,offset,count
LonglineLogsheet,AU,-7,59
LonglineLogsheet,AU,-6,29
LonglineLogsheet,AU,6,1
LonglineLogsheet,AU,10,1
LonglineLogsheet,AU,11,296
LonglineLogsheet,AU,12,1
LonglineLogsheet,BZ,-12,2
LonglineLogsheet,BZ,-11,253
LonglineLogsheet,BZ,-10,496
LonglineLogsheet,BZ,-9,621
LonglineLogsheet,BZ,-8,1882
LonglineLogsheet,BZ,-7,433
LonglineLogsheet,BZ,-6,3107
LonglineLogsheet,CK,-12,2479
LonglineLogsheet,CK,-11,8965
LonglineLogsheet,CK,-10,70
LonglineLogsheet,CK,9,1
LonglineLogsheet,CK,11,653
LonglineLogsheet,CK,12,97
LonglineLogsheet,CN,-12,3662
LonglineLogsheet,CN,-11,22799
LonglineLogsheet,CN,-10,6850
LonglineLogsheet,CN,-9,932
LonglineLogsheet,CN,-8,1768
LonglineLogsheet,CN,-7,652
LonglineLogsheet,CN,-6,144
LonglineLogsheet,CN,-5,1
LonglineLogsheet,CN,9,181
LonglineLogsheet,CN,10,16516
LonglineLogsheet,CN,11,98567
LonglineLogsheet,CN,12,23915
LonglineLogsheet,ES,-12,49
LonglineLogsheet,ES,-11,156
LonglineLogsheet,ES,12,177
LonglineLogsheet,FJ,-12,22754
LonglineLogsheet,FJ,-11,2745
LonglineLogsheet,FJ,-10,81
LonglineLogsheet,FJ,-7,82
LonglineLogsheet,FJ,-6,144
LonglineLogsheet,FJ,-5,1
LonglineLogsheet,FJ,0,5
LonglineLogsheet,FJ,1,20
LonglineLogsheet,FJ,10,16
LonglineLogsheet,FJ,11,12816
LonglineLogsheet,FJ,12,77147
LonglineLogsheet,FM,-12,41
LonglineLogsheet,FM,-11,10620
LonglineLogsheet,FM,-10,716
LonglineLogsheet,FM,-9,185
LonglineLogsheet,FM,-8,377
LonglineLogsheet,FM,8,1
LonglineLogsheet,FM,9,1890
LonglineLogsheet,FM,10,16372
LonglineLogsheet,FM,11,12812
LonglineLogsheet,FM,12,742
LonglineLogsheet,JP,1,1
LonglineLogsheet,JP,8,7
LonglineLogsheet,JP,9,11417
LonglineLogsheet,JP,10,16689
LonglineLogsheet,JP,11,5029
LonglineLogsheet,JP,12,69
LonglineLogsheet,KI,-12,5921
LonglineLogsheet,KI,-11,29449
LonglineLogsheet,KI,-10,24233
LonglineLogsheet,KI,-9,2847
LonglineLogsheet,KI,-8,8978
LonglineLogsheet,KI,-7,2427
LonglineLogsheet,KI,-6,367
LonglineLogsheet,KI,-5,1
LonglineLogsheet,KI,1,5
LonglineLogsheet,KI,9,141
LonglineLogsheet,KI,10,3846
LonglineLogsheet,KI,11,7702
LonglineLogsheet,KI,12,8921
LonglineLogsheet,KR,-12,4266
LonglineLogsheet,KR,-11,3333
LonglineLogsheet,KR,-10,1071
LonglineLogsheet,KR,-9,207
LonglineLogsheet,KR,-8,66
LonglineLogsheet,KR,-7,36
LonglineLogsheet,KR,9,3
LonglineLogsheet,KR,10,502
LonglineLogsheet,KR,11,2701
LonglineLogsheet,KR,12,6942
LonglineLogsheet,LK,-7,95
LonglineLogsheet,LK,-6,178
LonglineLogsheet,MH,-11,485
LonglineLogsheet,MH,-10,2
LonglineLogsheet,MH,9,65
LonglineLogsheet,MH,10,7445
LonglineLogsheet,MH,11,53491
LonglineLogsheet,MH,12,5643
LonglineLogsheet,NC,-12,24
LonglineLogsheet,NC,10,469
LonglineLogsheet,NC,11,22430
LonglineLogsheet,NC,12,48
LonglineLogsheet,PF,-10,77231
LonglineLogsheet,PF,-9,19511
LonglineLogsheet,PF,9,30
LonglineLogsheet,PF,10,50
LonglineLogsheet,PG,10,4097
LonglineLogsheet,PG,11,7
LonglineLogsheet,PG,12,2
LonglineLogsheet,PH,-12,21
LonglineLogsheet,PH,-11,1
LonglineLogsheet,PH,11,154
LonglineLogsheet,PH,12,193
LonglineLogsheet,PW,9,365
LonglineLogsheet,SB,-12,529
LonglineLogsheet,SB,-11,579
LonglineLogsheet,SB,-10,22
LonglineLogsheet,SB,1,11
LonglineLogsheet,SB,9,2
LonglineLogsheet,SB,10,3656
LonglineLogsheet,SB,11,44636
LonglineLogsheet,SB,12,1615
LonglineLogsheet,TO,-12,5524
LonglineLogsheet,TO,-11,58
LonglineLogsheet,TV,-12,461
LonglineLogsheet,TV,-11,3
LonglineLogsheet,TV,11,178
LonglineLogsheet,TV,12,854
LonglineLogsheet,TW,-12,9176
LonglineLogsheet,TW,-11,737
LonglineLogsheet,TW,-10,169
LonglineLogsheet,TW,-9,113
LonglineLogsheet,TW,-8,199
LonglineLogsheet,TW,-7,36
LonglineLogsheet,TW,-6,405
LonglineLogsheet,TW,1,8
LonglineLogsheet,TW,8,1
LonglineLogsheet,TW,9,14339
LonglineLogsheet,TW,10,3695
LonglineLogsheet,TW,11,19616
LonglineLogsheet,TW,12,192
LonglineLogsheet,US,-12,34
LonglineLogsheet,VU,-12,8911
LonglineLogsheet,VU,-11,18962
LonglineLogsheet,VU,-10,19295
LonglineLogsheet,VU,-9,12104
LonglineLogsheet,VU,-8,3762
LonglineLogsheet,VU,-7,1974
LonglineLogsheet,VU,-6,2875
LonglineLogsheet,VU,-5,14
LonglineLogsheet,VU,-2,196
LonglineLogsheet,VU,-1,133
LonglineLogsheet,VU,0,684
LonglineLogsheet,VU,1,1474
LonglineLogsheet,VU,2,12
LonglineLogsheet,VU,3,11
LonglineLogsheet,VU,4,6
LonglineLogsheet,VU,8,1
LonglineLogsheet,VU,9,1
LonglineLogsheet,VU,10,1883
LonglineLogsheet,VU,11,4940
LonglineLogsheet,VU,12,4768
LonglineLogsheet,WS,-12,11584
LonglineLogsheet,WS,-11,13353
LonglineLogsheet,WS,-10,2
LonglineLogsheet,WS,-1,30
LonglineLogsheet,WS,0,188
LonglineLogsheet,WS,1,398
LonglineLogsheet,WS,9,1
LonglineLogsheet,WS,10,42
LonglineLogsheet,WS,11,479
LonglineLogsheet,WS,12,24
PurseseineLogsheet,CK,-12,47
PurseseineLogsheet,CK,-11,688
PurseseineLogsheet,CK,-10,153
PurseseineLogsheet,CN,-12,10
PurseseineLogsheet,CN,10,64
PurseseineLogsheet,CN,11,779
PurseseineLogsheet,CN,12,509
PurseseineLogsheet,EC,-12,9
PurseseineLogsheet,EC,-11,245
PurseseineLogsheet,EC,-10,2265
PurseseineLogsheet,EC,-9,744
PurseseineLogsheet,EC,-8,407
PurseseineLogsheet,EC,-7,104
PurseseineLogsheet,EC,-6,18
PurseseineLogsheet,EC,12,5
PurseseineLogsheet,ES,-12,28
PurseseineLogsheet,ES,-11,1008
PurseseineLogsheet,ES,-10,819
PurseseineLogsheet,ES,-9,208
PurseseineLogsheet,ES,-8,41
PurseseineLogsheet,ES,-7,10
PurseseineLogsheet,ES,12,7
PurseseineLogsheet,FM,-12,2706
PurseseineLogsheet,FM,-11,2823
PurseseineLogsheet,FM,-10,204
PurseseineLogsheet,FM,9,1162
PurseseineLogsheet,FM,10,17686
PurseseineLogsheet,FM,11,16644
PurseseineLogsheet,FM,12,5109
PurseseineLogsheet,JP,-12,332
PurseseineLogsheet,JP,-11,165
PurseseineLogsheet,JP,-10,48
PurseseineLogsheet,JP,9,4192
PurseseineLogsheet,JP,10,16119
PurseseineLogsheet,JP,11,2404
PurseseineLogsheet,JP,12,412
PurseseineLogsheet,KI,-12,5064
PurseseineLogsheet,KI,-11,5112
PurseseineLogsheet,KI,-10,758
PurseseineLogsheet,KI,9,268
PurseseineLogsheet,KI,10,5597
PurseseineLogsheet,KI,11,23532
PurseseineLogsheet,KI,12,17148
PurseseineLogsheet,KR,-12,3531
PurseseineLogsheet,KR,-11,3708
PurseseineLogsheet,KR,-10,1234
PurseseineLogsheet,KR,9,583
PurseseineLogsheet,KR,10,15493
PurseseineLogsheet,KR,11,18018
PurseseineLogsheet,KR,12,10121
PurseseineLogsheet,LR,-12,62
PurseseineLogsheet,LR,-11,126
PurseseineLogsheet,LR,9,109
PurseseineLogsheet,LR,10,404
PurseseineLogsheet,LR,11,302
PurseseineLogsheet,LR,12,132
PurseseineLogsheet,MH,-12,1848
PurseseineLogsheet,MH,-11,1570
PurseseineLogsheet,MH,-10,29
PurseseineLogsheet,MH,9,89
PurseseineLogsheet,MH,10,1587
PurseseineLogsheet,MH,11,8430
PurseseineLogsheet,MH,12,5190
PurseseineLogsheet,MX,-12,2
PurseseineLogsheet,MX,-11,97
PurseseineLogsheet,NR,-12,1056
PurseseineLogsheet,NR,-11,1571
PurseseineLogsheet,NR,-10,198
PurseseineLogsheet,NR,-9,28
PurseseineLogsheet,NR,9,196
PurseseineLogsheet,NR,10,5688
PurseseineLogsheet,NR,11,12940
PurseseineLogsheet,NR,12,3491
PurseseineLogsheet,PA,8,45
PurseseineLogsheet,PG,-12,1096
PurseseineLogsheet,PG,-11,2371
PurseseineLogsheet,PG,-10,747
PurseseineLogsheet,PG,-9,86
PurseseineLogsheet,PG,-8,22
PurseseineLogsheet,PG,-7,2
PurseseineLogsheet,PG,9,4070
PurseseineLogsheet,PG,10,91476
PurseseineLogsheet,PG,11,17153
PurseseineLogsheet,PG,12,4255
PurseseineLogsheet,PH,-12,126
PurseseineLogsheet,PH,-11,143
PurseseineLogsheet,PH,3,1
PurseseineLogsheet,PH,5,11
PurseseineLogsheet,PH,6,5
PurseseineLogsheet,PH,8,1819
PurseseineLogsheet,PH,9,5194
PurseseineLogsheet,PH,10,3791
PurseseineLogsheet,PH,11,772
PurseseineLogsheet,PH,12,319
PurseseineLogsheet,SB,-12,376
PurseseineLogsheet,SB,-11,481
PurseseineLogsheet,SB,-10,178
PurseseineLogsheet,SB,-6,6
