type,vessel_flag,offset_bucket,count
LonglineLogsheet,CK,-12,40
LonglineLogsheet,CK,-11,220
LonglineLogsheet,CK,-10,60
LonglineLogsheet,CK,0,1
LonglineLogsheet,CK,10,4
LonglineLogsheet,CK,11,54
LonglineLogsheet,CK,12,114
LonglineLogsheet,CK,13,39
LonglineLogsheet,CN,-12,27
LonglineLogsheet,CN,-11,244
LonglineLogsheet,CN,-10,384
LonglineLogsheet,CN,0,1
LonglineLogsheet,CN,6,1
LonglineLogsheet,CN,9,48
LonglineLogsheet,CN,10,87
LonglineLogsheet,CN,11,2186
LonglineLogsheet,CN,12,1297
LonglineLogsheet,CN,13,324
LonglineLogsheet,CN,14,73
LonglineLogsheet,FJ,-12,290
LonglineLogsheet,FJ,-11,12
LonglineLogsheet,FJ,-9,1
LonglineLogsheet,FJ,-3.5,1
LonglineLogsheet,FJ,0,4
LonglineLogsheet,FJ,4.5,1
LonglineLogsheet,FJ,7,1
LonglineLogsheet,FJ,8,2
LonglineLogsheet,FJ,9,2
LonglineLogsheet,FJ,10,10
LonglineLogsheet,FJ,11,31
LonglineLogsheet,FJ,12,16187
LonglineLogsheet,FJ,13,2870
LonglineLogsheet,FJ,14,19
LonglineLogsheet,FM,-12,23
LonglineLogsheet,FM,-11,65
LonglineLogsheet,FM,-10,21
LonglineLogsheet,FM,-9,19
LonglineLogsheet,FM,-8,20
LonglineLogsheet,FM,1,32
LonglineLogsheet,FM,2,1
LonglineLogsheet,FM,10,147
LonglineLogsheet,FM,11,47
LonglineLogsheet,FM,12,263
LonglineLogsheet,FM,13,367
LonglineLogsheet,FM,14,6
LonglineLogsheet,JP,9,32
LonglineLogsheet,JP,10,74
LonglineLogsheet,JP,11,72
LonglineLogsheet,KI,-12,2
LonglineLogsheet,KI,-10,303
LonglineLogsheet,KI,-7,1
LonglineLogsheet,KI,4,5
LonglineLogsheet,KI,5,25
LonglineLogsheet,KI,11,3
LonglineLogsheet,KI,12,793
LonglineLogsheet,KI,13,166
LonglineLogsheet,KI,14,89
LonglineLogsheet,MH,-12,76
LonglineLogsheet,MH,-11,1
LonglineLogsheet,MH,0,1
LonglineLogsheet,MH,3,1
LonglineLogsheet,MH,4,22
LonglineLogsheet,MH,10,40
LonglineLogsheet,MH,11,155
LonglineLogsheet,MH,12,2016
LonglineLogsheet,MH,13,41
LonglineLogsheet,MH,14,6
LonglineLogsheet,NC,-11,3
LonglineLogsheet,NC,9,2
LonglineLogsheet,NC,10,30
LonglineLogsheet,NC,11,1132
LonglineLogsheet,NC,12,18
LonglineLogsheet,NC,13,4
LonglineLogsheet,NC,14,1
LonglineLogsheet,PF,-12,13
LonglineLogsheet,PF,-11,4
LonglineLogsheet,PF,-10,5238
LonglineLogsheet,PF,-9,3
LonglineLogsheet,PF,-8,2
LonglineLogsheet,PF,-4,1
LonglineLogsheet,PF,0,16
LonglineLogsheet,PF,2,17
LonglineLogsheet,PF,14,71
LonglineLogsheet,PG,10,21
